user_id,order_id,order_date,amount
1,10001,2025-07-14,6629.25
1,10002,2025-08-14,4754.47
1,10003,2025-10-20,3735.89
1,10004,2025-11-14,3129.17
1,10005,2025-11-15,5537.49
1,10006,2025-12-30,4584.24
2,10007,2025-11-07,2475.30
2,10008,2025-12-06,2465.11
2,10009,2025-12-14,1241.72
3,10010,2025-10-19,1243.84
3,10011,2025-11-16,1212.73
3,10012,2025-12-27,2572.75
4,10013,2025-05-19,3519.86
4,10014,2025-06-23,3061.17
4,10015,2025-07-28,3563.85
4,10016,2025-09-06,1101.93
4,10017,2025-10-26,1753.60
4,10018,2025-11-02,2820.92
4,10019,2025-12-15,1617.07
5,10020,2025-02-05,503.34
5,10021,2025-03-01,1941.99
6,10022,2025-12-10,3007.95
6,10023,2025-12-18,1986.72
7,10024,2025-08-10,2351.78
7,10025,2025-10-06,1068.95
7,10026,2025-10-18,1436.12
7,10027,2025-12-13,1219.27
8,10028,2025-12-16,4397.91
8,10029,2025-12-21,3765.46
9,10030,2025-09-11,2548.22
9,10031,2025-10-06,2546.16
9,10032,2025-11-20,2621.89
10,10033,2025-06-13,1445.04
10,10034,2025-09-01,1492.39
10,10035,2025-10-07,1300.80
10,10036,2025-11-23,1737.65
